kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,depth_duration_ratio,radius_period_ratio,impact_duration_ratio,insol_radius_ratio
5475736,K03798.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.991885335,4.23e-06,-4.23e-06,134.17581,0.00122,-0.00122,0.95,0.002,-0.002,7.4319,0.0769,-0.0769,1356.9,12.4,-12.4,3.94,0.85,-0.58,1209.0,,,505.77,338.6,-174.64,160.2,1.0,q1_q17_dr25_tce,5750.0,172.0,-155.0,4.464,0.14,-0.154,0.839,0.183,-0.122,298.57819,40.67548,14.011,182.57780648286442,1.3168953883053809,0.1278273389039142,128.36802030456852
9049673,K03799.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.327471395,1.014e-06,-1.014e-06,131.583734,0.000651,-0.000651,0.897,0.004,-0.005,5.2334,0.0469,-0.0469,5673.8,42.8,-42.8,7.08,0.94,-0.86,1395.0,,,892.4,440.54,-286.29,218.7,1.0,q1_q17_dr25_tce,5232.0,203.0,-166.0,4.519,0.09,-0.081,0.777,0.103,-0.094,299.81671,45.332821,15.818,1084.1517942446594,5.333448258596939,0.17139909045744642,126.045197740113
7031898,K07807.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,0.566792595,9.9e-06,-9.9e-06,131.817,0.0146,-0.0146,0.068,0.418,-0.068,2.637,0.513,-0.513,19.9,2.7,-2.7,0.5,0.1,-0.08,2548.0,,,10020.28,6008.08,-3812.1,9.4,1.0,q1_q17_dr25_tce,6277.0,170.0,-189.0,4.322,0.135,-0.135,1.121,0.223,-0.183,291.24664,42.562382,12.982,7.546454304133484,0.8821569025615092,0.02578687902919985,20040.56
9593759,K03800.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.247156944,2.408e-06,-2.408e-06,132.36584,0.00184,-0.00184,25.224,10.33,-0.013,2.6779,0.0369,-0.0369,134760.0,1743.0,-1743.0,26042.9,9456.0,-11560.0,4120.0,,,68223.38,74432.78,-49313.25,92.4,1.0,q1_q17_dr25_tce,4770.0,143.0,-129.0,2.605,0.442,-0.238,9.67,3.511,-4.292,294.10733,46.209469,17.474,50323.01430225176,20881.814534482517,9.419321109824862,2.6196537251995746
8827930,K03801.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,288.3128666,0.0005073,-0.0005073,374.79958,0.00125,-0.00125,0.525,0.062,-0.358,5.419,0.109,-0.109,11181.0,131.0,-131.0,13.21,2.07,-2.3,300.0,,,1.93,0.79,-0.68,96.8,1.0,q1_q17_dr25_tce,5672.0,76.0,-76.0,4.252,0.162,-0.108,1.22,0.191,-0.212,295.20694,45.09819,15.999,2063.2958110352465,0.04581828121575758,0.09688134342129545,0.1461014383043149
5020044,K03802.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.119100054,2.796e-06,-2.796e-06,132.59118,0.00113,-0.00113,1.247,0.198,-0.088,8.2163,0.0829,-0.0829,1651.1,11.3,-11.3,34.34,10.67,-4.27,1571.0,,,1435.29,1309.88,-469.33,195.7,1.0,q1_q17_dr25_tce,6292.0,171.0,-202.0,4.426,0.052,-0.208,1.078,0.335,-0.134,294.30585,40.193779,13.835,200.9542007959787,16.20499227263009,0.1517714786461059,41.796447291788
11560037,K03874.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.466535757,7.16e-07,-7.16e-07,131.992658,0.000394,-0.000394,0.824,0.047,-0.575,0.8222,0.0348,-0.0348,1346.4,29.4,-29.4,4.28,1.24,-0.77,1671.0,,,1849.31,1575.29,-744.53,86.1,1.0,q1_q17_dr25_tce,5888.0,159.0,-177.0,4.387,0.128,-0.192,1.02,0.296,-0.182,292.35748,49.514511,15.446,1637.557771831671,2.9184423083930304,1.0021892483580637,432.08177570093454
11911561,K03875.01,,FALSE POSITIVE,FALSE POSITIVE,1.0,0,1,0,0,8.870415578,9.022e-06,-9.022e-06,137.481093,0.000869,-0.000869,1.206,70.61,-0.033,1.2864,0.0514,-0.0514,873.1,25.8,-25.8,39.46,11.1,-16.68,1151.0,,,414.26,360.89,-292.07,43.8,1.0,q1_q17_dr25_tce,6022.0,200.0,-181.0,4.027,0.434,-0.186,1.514,0.426,-0.64,290.14914,50.239178,13.579,678.7157960199005,4.448495073654373,0.9375,10.498226051697921
6547322,K07786.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.49131759,2.416e-05,-2.416e-05,132.1676,0.0149,-0.0149,0.467,0.522,-0.255,4.721,0.435,-0.435,25.8,3.0,-3.0,1.26,0.28,-0.7,2475.0,,,8873.77,6129.6,-7341.02,10.3,1.0,q1_q17_dr25_tce,6014.0,192.0,-213.0,3.782,0.578,-0.136,2.429,0.537,-1.344,298.30786,41.965389,13.953,5.464943867824614,0.8448904569012694,0.09891972039822072,7042.674603174603
3440118,K03876.01,Kepler-1928 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,19.57783279,3.696e-05,-3.696e-05,131.71421,0.00153,-0.00153,0.694,0.007,-0.509,1.9857,0.048,-0.048,432.6,13.5,-13.5,1.96,0.27,-0.09,621.0,,,35.14,13.8,-5.49,37.2,1.0,q1_q17_dr25_tce,5620.0,100.0,-111.0,4.533,0.023,-0.113,0.884,0.123,-0.039,290.44067,38.52356,12.624,217.85768242937002,0.10011322606663248,0.3494989172583975,17.92857142857143
9159265,K03877.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,3.04476607,1.383e-05,-1.383e-05,132.43708,0.00388,-0.00388,1.159,0.653,-0.067,9.568,0.188,-0.188,272.6,4.9,-4.9,15.7,3.97,-1.32,1126.0,,,379.01,283.05,-94.21,67.0,1.0,q1_q17_dr25_tce,5627.0,152.0,-152.0,4.568,0.04,-0.16,0.818,0.207,-0.069,293.68225,45.511398,14.506,28.49080267558529,5.156389567885587,0.12113294314381272,24.140764331210192
4472818,K03878.01,Kepler-1524 b,CONFIRMED,CANDIDATE,0.982,0,0,0,0,70.9672087,0.0001847,-0.0001847,182.66991,0.00202,-0.00202,0.545,0.035,-0.419,6.9623,0.0704,-0.0704,784.7,12.3,-12.3,2.84,0.42,-0.15,438.0,,,8.66,3.43,-1.31,69.3,1.0,q1_q17_dr25_tce,5818.0,78.0,-78.0,4.464,0.04,-0.12,0.986,0.148,-0.053,293.88541,39.51981,12.72,112.70700774169457,0.04001848250796427,0.07827872973011793,3.0492957746478875
5816806,K03645.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.45543346,1.896e-06,-1.896e-06,134.453921,0.000447,-0.000447,0.469,0.006,-0.007,5.116,0.013,-0.013,245680.0,698.0,-698.0,51.69,0.0,0.0,1106.0,,,354.27,0.0,0.0,508.6,1.0,q1_q17_dr25_tce,5780.0,157.0,-160.0,4.438,0.07,-0.128,1.0,0.251,-0.111,298.33798,41.075291,17.046,48021.89210320563,11.601564800386447,0.0916731821735731,6.853743470690656
6531496,K03646.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,14.323889947,5.415e-06,-5.415e-06,135.225964,0.000421,-0.000421,1.073,0.029,-0.027,4.83729,0.00711,-0.00711,69072.0,96.4,-96.4,45.93,13.35,-4.46,720.0,,,63.62,54.63,-18.63,834.3,1.0,q1_q17_dr25_tce,5853.0,163.0,-204.0,4.529,0.048,-0.204,0.895,0.26,-0.087,294.59052,41.94651,16.095,14279.069478985133,3.2065311985742806,0.22181841485625214,1.3851513172218592
9661869,K03647.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,20.427232317,8.229e-06,-8.229e-06,135.862807,0.000444,-0.000444,5.499,29.56,-0.844,3.46429,0.00881,-0.00881,121810.0,273.0,-273.0,601.32,190.4,-87.97,749.0,,,74.27,71.37,-27.97,526.6,1.0,q1_q17_dr25_tce,6167.0,193.0,-236.0,4.354,0.108,-0.201,1.121,0.355,-0.164,296.65707,46.38052,16.677,35161.605985642076,29.437174388992876,1.5873382424681535,0.12351160779618171
6790592,K07791.01,,CANDIDATE,CANDIDATE,0.805,0,0,0,0,106.18732,0.03174,-0.03174,180.796,0.172,-0.172,0.027,0.429,-0.027,10.29,2.6,-2.6,266.1,32.7,-32.7,231.85,13.94,-41.79,2660.0,,,11829.18,3460.56,-4608.56,8.6,1.0,q1_q17_dr25_tce,3287.0,117.0,-78.0,0.114,0.208,-0.052,152.969,9.192,-27.576,295.43973,42.209061,10.028,25.860058309037907,2.1834057023004254,0.0026239067055393588,51.02083243476386
9411166,K01922.03,Kepler-1016 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,105.6552651,0.0006245,-0.0006245,230.09865,0.00489,-0.00489,0.371,0.059,-0.371,9.39,0.137,-0.137,1366.9,33.5,-33.5,4.22,0.66,-0.55,407.0,,,6.51,2.71,-1.83,42.3,2.0,q1_q17_dr25_tce,5741.0,77.0,-77.0,4.331,0.115,-0.115,1.136,0.18,-0.147,294.61365,45.984619,15.356,145.56975505857295,0.03994121822519567,0.039510117145899894,1.542654028436019
3097352,K03648.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.029803201,2.907e-06,-2.907e-06,134.422433,0.000814,-0.000814,0.17,0.038,-0.066,4.4301,0.0203,-0.0203,191070.0,650.0,-650.0,47.58,14.83,-6.36,1233.0,,,545.64,516.63,-195.58,352.3,1.0,q1_q17_dr25_tce,6024.0,189.0,-232.0,4.385,0.108,-0.201,1.078,0.336,-0.144,285.68704,38.26115,16.936,43129.95191982122,11.80702819139976,0.03837385160605855,11.467843631778058
6066379,K03649.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,1.303858554,3.88e-07,-3.88e-07,131.606872,0.000336,-0.000336,0.928,0.027,-0.022,4.36797,0.00679,-0.00679,126640.0,168.0,-168.0,73.29,20.95,-17.14,2080.0,,,4438.11,3865.57,-2210.09,904.0,1.0,q1_q17_dr25_tce,6282.0,197.0,-241.0,4.207,0.195,-0.175,1.343,0.384,-0.314,298.13248,41.33427,15.475,28992.873119549815,56.210084886247564,0.21245567162778134,60.55546459271387
6508221,K00416.03,,CANDIDATE,CANDIDATE,0.981,0,0,0,0,9.74765878,9.882e-05,-9.882e-05,139.16424,0.00796,-0.00796,0.658,0.295,-0.434,2.62,0.312,-0.312,102.0,11.5,-11.5,0.78,0.06,-0.03,679.0,,,50.3,12.33,-7.67,11.6,3.0,q1_q17_dr25_tce,5176.0,102.0,-102.0,4.612,0.016,-0.06,0.738,0.054,-0.031,286.86548,41.989079,14.29,38.93129770992366,0.0800192146241705,0.2511450381679389,64.48717948717947
12154526,K02004.02,Kepler-1047 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.18899015,1.97e-05,-1.97e-05,133.52624,0.00522,-0.00522,0.526,0.429,-0.311,2.722,0.151,-0.151,66.2,4.1,-4.1,0.98,0.15,-0.13,1309.0,,,693.65,307.57,-205.7,18.4,2.0,q1_q17_dr25_tce,5700.0,114.0,-114.0,4.327,0.103,-0.115,1.176,0.182,-0.149,288.64627,50.788979,13.351,24.32035268185158,0.30730731482503953,0.1932402645113887,707.8061224489796
